countryName,1976,2016,gini,1976_,2016_
Angola,46.95969381,50.69086281,55,7900997,28813463
CotedIvoire,42.57598112,54.51290157,43.18,6922982,23695919
Ghana,38.67693197,57.9346814,42.77,10023472,28206728
Nigeria,44.08737712,53.16548976,48.8,65226229,185989640
CongoDR,46.3457238,50.63381113,48.94,23559071,78736153
SouthAfrica,29.17756135,65.11565571,60.8,26354140,55908865
Benin,42.86585964,53.89842147,43.44,3347173,10872298
Botswana,31.62292357,64.55351826,51,857855,2250260
BurkinaFaso,45.38759236,52.20265452,35.3,6274037,18646433
Burundi,44.87390249,52.59841752,33.36,3739659,10524117
Cameroon,42.9044196,53.93144362,46.54,7669445,23439189
CapeVerde,30.65627548,64.9026985,47.19,273652,539560
CentralAfricanRepublic,43.50167293,52.83980986,56.24,2062405,4594621
Chad,47.38386871,50.14390893,43.32,4172230,14452543
Comoros,39.97707394,57.0987216,55.93,265953,795601
CongoR,42.38310312,50.63381113,48.94,1637941,5125821
Djibouti,31.56835216,64.27006164,44.13,248556,942333
Ethiopia,41.10066643,55.39422422,32.3,33146891,102403196
Gabon,35.86231037,59.65725589,42.18,663770,1979786
TheGambia,45.53208461,52.13885105,47.33,536409,2038501
Guinea,42.46608805,54.44203272,33.73,4381601,12395924
GuineaBissau,41.6147399,55.44963975,50.66,784156,1815698
Kenya,40.88528751,56.48270928,45.9,13996704,48461567
Lesotho,35.53169699,59.99234965,54.18,1179723,2203821
Liberia,42.11145508,54.84900483,36.48,1672300,4613823
Madagascar,41.29341799,55.8286711,42.65,7773449,24894551
Malawi,44.27198295,52.72764809,49.1,5454705,18091575
Mali,47.83704348,49.63763217,33.04,6596773,17994837
Mauritania,40.10457524,56.77730249,32.42,1367563,4301018
Mozambique,45.01886541,51.83567679,45.58,10632932,28829476
Namibia,36.89265653,59.59391268,59.7,927503,2479713
Niger,50.23148324,47.21909321,33.99,5334918,20672987
Rwanda,40.47061684,56.64328482,50.44,4499509,11917508
Senegal,42.99533456,54.00586856,40.29,5064674,15411614
SierraLeone,41.16381112,55.05968614,33.99,3062956,7396190
Sudan,41.16381112,54.65793129,46.34,12578407,39578828
Swaziland,37.39369726,59.46706793,51.45,533214,1343098
Tanzania,45.08203301,51.80708966,37.78,16493305,55572201
Togo,41.82536909,55.35870311,38.1,2464455,7606374
Uganda,47.98613285,49.84280381,41.01,11139833,41487965
Zambia,45.09173131,52.41648831,55.62,5139030,16591390
Zimbabwe,41.37941304,55.80503397,39,6308300,16150362
World,26.06429251,65.45348896,80,6308300,6308300
