countryName,1976,2016
Angola,18.2,26.6
CotedIvoire,35,19.9
Ghana,30.5,24.2
Nigeria,20.6,28
CongoDR,26.3,16.7
Somalia,26,14
SouthAfrica,48.2,17.1
Benin,24.293,20.102
Botswana,13.572,44.138
BurkinaFaso,7.151,23.537
Burundi,3.838,8.521
Cameroon,29.469,25.469
CapeVerde,22.209,43.978
CentralAfricanRepublic,32.897,7.435
Chad,17.413,5.205
Comoros,22.014,6.398
CongoR,45.091,20.707
Djibouti,69.178,8.252
Ethiopia,9.83,10.092
Gabon,47.633,39.733
TheGambia,25.974,34.25
Guinea,21.087,16.564
GuineaBissau,16.287,33.807
Kenya,14.112,11.943
Lesotho,11.272,16.568
Liberia,32.252,17.848
Madagascar,17.184,18.557
Malawi,8.394,8.06
Mali,17.083,23.6
Mauritania,23.327,37.119
Mozambique,10.872,21.636
Namibia,24.21,23.415
Niger,12.648,6.362
Rwanda,4.374,25.401
Senegal,34.718,9.347
SierraLeone,28.554,11.764
SouthSudan,8.553,10.477
Swaziland,15.753,5.562
Tanzania,12.773,19.543
Togo,23.611,16.852
Uganda,7.197,9.247
Zambia,36.855,4.524
Zimbabwe,20.846,11.431
